name,rarity,description
Abito da Pirata,"Armatura ( in pelle ), non comune","Iconico di quasi tutti i pirati d'oltremare, questo abito li distingue dalla maggior parte degli altri marittimi. Sebbene occasionalmente possa includere cappotti spessi e persino parti in pelle solida per armature, è destinato principalmente alla navigazione generale e all'occultamento di oggetti. L'estetica visiva e le condizioni dell'abbigliamento possono anche dirti molto sull'individuo che lo indossa. Grazie alla sua struttura suddivisa che consente la libertà di movimento e il design aerodinamico generale, mentre indossi questa armatura hai un bonus di +2 alla tua CA."
Amuleto del Controllo della Melma,"Oggetto meraviglioso, molto raro (richiede sintonia)","Mentre sei in sintonia con l'amuleto, gli melme ordinarie sono indifferenti nei tuoi confronti e non ti attaccano a meno che tu non li minacci o li ferisca."
Amuleto del Controllo della Licantropia,Oggetto meraviglioso Raro,"Questo Amuleto permette all'individuo che lo indossa di essere cosciente e consapevole quando si trasforma in un licantropo, e capace dunque di controllare come preferisce la sua licantropia."
Anello Adamantino,"Anello, molto raro (richiede sintonia)","Questo anello è stato impregnato dell'essenza stessa di Adamantio. Mentre lo indossi, ogni colpo critico contro di te diventa un colpo normale e guadagni un bonus di +1 alla CA e ai tiri salvezza."
Anello abbandonato dei Nove Inferni,"Anello, artefatto (richiede la sintonizzazione da parte di un Contatto con un diavolo)","L'Anello Abbandonato è un semplice anello di pietra, con incisioni appena percettibili, che rappresentano i cerchi dei Nove Inferni. Nessuno conosce la vera origine dell'anello, ed è fatto di un materiale zoico sconosciuto."
Anello del Campione,"Anello, molto raro (richiede sintonia)","Un anello d'argento, con il simbolo di una corona e un testo inciso sopra. Il testo è in Infernale e recita come segue."
Anello del Sangue Arcano,"Anello, molto raro (richiede la sintonizzazione da parte di uno stregone o di un bardo)","Questa fascia di ferro grigio scuro ha due gemme incastonate sui lati opposti, un granato e uno zaffiro. Puoi usare un'azione per concentrarti sulla gemma di granato. Subisci un danno necrotico pari al tuo livello per riguadagnare gli slot di incantesimi spesi che hanno un livello combinato pari o inferiore alla metà del tuo livello (arrotondato per eccesso), e nessuno degli slot può essere di 6° livello o superiore. Questo danno non può essere ridotto o evitato in alcun modo. Puoi anche usare un'azione per concentrarti sulla gemma zaffiro. Questo ha l'effetto opposto, permettendoti invece di spendere slot per incantesimi per recuperare punti ferita. L'anello può essere utilizzato per riguadagnare gli slot incantesimo spesi una sola volta, dopodiché l'anello riacquisterà l'uso di questo effetto all'alba."
Anello del Serpente d'Oro Bramoso,"Anello, non comune (richiede sintonia)","“ Un anello d'oro raffigurante un serpente che potrebbe essere stato, ma non è mai stato, un drago. Se le catene sono motivo di malcontento, forse è il momento di un po' di buona vecchia avidità. ”"
Anello del Serpente d'argento Bramoso,"Anello, molto raro (richiede sintonia)","“ Un anello d'argento raffigurante un serpente che avrebbe potuto essere, ma non è mai stato, un drago. Se le catene sono motivo di malcontento, forse è il momento di un po' di avidità vecchio stile. ”"
Anello del Potere Benedetto,"Anello, Leggendario (richiede sintonia)","Un anello d'oro liscio con inciso il nome del suo creatore, l'Arcimago ""Noruas"", in elegante calligrafia."
Anello del Controllo della Forma Vampiresca,"Oggetto Meraviglioso, Molto Raro (anello)",Questo anello permette ad un giocatore che ha subito la maledizione vampiresca di mantenere il controllo quando si trasforma in una progenie vampirica o un vampiro.
Anello dell'Abaco della Conservazione,"Anello, leggendario (richiede la sintonizzazione da parte di un incantatore, un monaco o un mistico)","Questo anello incantato è un attrezzo, uno strumento della matematica. Uno studente di un college di maghi progettò l'anello per aiutarlo a tenere traccia dei numeri, ma in seguito lo incantò per contenere la sua energia magica. Puoi usare un'azione per immagazzinare uno slot per incantesimi o un numero qualsiasi di punti psi o punti ki nell'anello. Lo slot o i punti psi vengono poi assorbiti in esso come livelli di incantesimo, punti psi o punti ki rispettivamente. L'anello può contenere un massimo di 7 livelli di incantesimi, punti psi o punti ki e puoi usarli per lanciare i tuoi incantesimi e per attivare le tue abilità psioniche o i tuoi punti ki."
Anello dell'Apprendista della Distanza,"Anello, comune","Un semplice anello d'argento inciso con motivi vorticosi utilizzato dagli incantatori di livello apprendista. Se indossato, l'anello raddoppia il raggio d'azione dei tuoi incantesimi offensivi a distanza."
Anello dell'Apprendista dell'Esplosione,"Anello, non comune","Un semplice anello d'argento inciso con motivi a raffica indossato dagli incantatori di livello apprendista. Quando viene indossato, fa sì che qualsiasi incantesimo offensivo a distanza che lanci esploda in una raffica di 1,5 metri al contatto con una superficie o un bersaglio."
Anello dell'Arsenale,"Anello, molto raro (richiede sintonia)","Un anello che contiene un'armeria al suo interno, permettendo a chi lo possiede di essere pronto per qualsiasi situazione."
Anello della Bellezza,"Anello, leggendario (richiede sintonia)","Mentre il portatore di questo anello indossa l'anello, si trasformerà in un essere molto bello. Mentre indossi l'anello, il tuo punteggio di Carisma aumenta di 3, fino a un massimo di 22. Puoi anche tentare di ipnotizzare una creatura che puoi vedere come azione. Il bersaglio deve effettuare un tiro salvezza di DC 8 + il tuo bonus di competenza + il tuo modificatore di Carisma o essere stordito fino all'inizio del tuo turno. Questo effetto può essere utilizzato una volta sola, e l'anello ne riacquista l'uso all'alba."
Anello Rotto della Bilancia,"Anello, molto raro (richiede sintonia)","Questo anello nero scuro rimarrà sempre in qualche modo sul dito di chi lo indossa, ma una volta rimosso, si romperà a metà. Mentre lo indossi, otterrai un bonus di +1 alla CA e, all'inizio di ogni tuo turno, guadagnerai o perderai 1d4 punti ferita, finché i tuoi punti ferita attuali non saranno pari alla metà dei tuoi punti ferita massimi. Non guadagnerai punti ferita quando sarai a 0 punti ferita. Questo anello può essere sintonizzato solo una volta ogni 24 ore."
Anello di Fuoco,"Anello, molto raro (richiede sintonia)","Mentre indossi questo anello, hai l'immunità ai danni da fuoco e puoi usare la tua azione per lanciare il bruciatore di Aganazzar (versione di 5° livello, DC 17)."
Anello di Salomone,"Anello, artefatto (richiede la sintonizzazione da parte di una creatura di allineamento neutrale o malvagio)","Questo anello è una singola banda di nero puro. Ha iscrizioni in una lingua straniera. Una prova di Intelligenza (Investigazione) di CD 22 rivela che le parole significano ""I deboli sono nati per essere schiavizzati, i potenti sono nati per schiavizzare"". Quando è sintonizzato con questo anello, l'anello non si stacca dal dito di chi lo indossa senza il suo permesso."
